Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024
531,Northern Africa and Western Asia,,,1833,Latin America and the Caribbean,1830,38 208,47 044,53 994,60 896,68 622,73 564,79 782,84 601
532,Northern Africa and Western Asia,,,1833,Oceania (excluding Australia and New Zealand),1835,1,2,2,3,3,2,1,1
533,Northern Africa and Western Asia,,,1833,Australia/New Zealand,1836,4 594,4 946,5 247,6 470,8 120,7 299,8 868,9 237
534,Northern Africa and Western Asia,,,1833,Europe and Northern America,1829,2 468 303,2 445 479,2 302 343,2 185 163,2 125 712,2 081 924,2 341 825,2 678 174
535,Northern Africa and Western Asia,,,1833,More developed regions,901,2 477 930,2 453 848,2 309 457,2 193 693,2 136 006,2 090 305,2 352 880,2 689 435
536,Northern Africa and Western Asia,,,1833,Less developed regions,902,12 911 442,14 736 820,16 154 295,19 292 262,27 661 112,39 479 442,44 470 113,49 199 384
537,Northern Africa and Western Asia,,,1833,Least developed countries,941,3 215 314,3 253 254,3 280 406,3 724 727,6 081 932,9 931 003,11 339 347,13 899 441
538,Northern Africa and Western Asia,,,1833,"Less developed regions, excluding least developed countries",934,9 696 128,11 483 566,12 873 889,15 567 535,21 579 180,29 548 439,33 130 766,35 299 943
539,Northern Africa and Western Asia,,,1833,"Less developed regions, excluding China",948,12 900 101,14 729 392,16 145 859,19 280 658,27 641 663,39 460 988,44 432 860,49 126 061
540,Northern Africa and Western Asia,,,1833,Land-locked Developing Countries (LLDC),1636,2 100 644,1 976 769,1 562 325,1 298 849,1 409 627,2 050 292,3 265 433,4 444 593
541,Northern Africa and Western Asia,,,1833,Small Island Developing States (SIDS),1637,2 440,3 749,5 189,6 044,6 994,6 400,9 083,9 562
542,Northern Africa and Western Asia,,,1833,High-and-upper-middle-income countries,5503,5 840 637,6 874 834,7 398 276,7 928 191,9 089 222,8 192 719,9 397 638,10 072 285
543,Northern Africa and Western Asia,,,1833,Low-and-Lower-middle-income countries,5504,9 380 261,10 148 217,10 898 639,13 425 426,20 562 288,33 218 774,37 260 681,41 645 839
544,Northern Africa and Western Asia,,,1833,High-income countries,1503,1 408 329,1 453 045,1 478 355,1 450 137,1 530 634,1 556 128,1 824 471,2 024 565
545,Northern Africa and Western Asia,,,1833,Low-and-middle-income countries,1859,13 812 569,15 570 006,16 818 560,19 903 480,28 120 876,39 855 365,44 833 848,49 693 559
546,Northern Africa and Western Asia,,,1833,Middle-income countries,1517,11 369 415,13 219 509,14 559 066,17 455 163,23 790 570,29 440 039,31 484 933,34 548 602
547,Northern Africa and Western Asia,,,1833,Upper-middle-income countries,1502,4 432 308,5 421 789,5 919 921,6 478 054,7 558 588,6 636 591,7 573 167,8 047 720
548,Northern Africa and Western Asia,,,1833,Lower-middle-income countries,1501,6 937 107,7 797 720,8 639 145,10 977 109,16 231 982,22 803 448,23 911 766,26 500 882
549,Northern Africa and Western Asia,,,1833,Low-income countries,1500,2 443 154,2 350 497,2 259 494,2 448 317,4 330 306,10 415 326,13 348 915,15 144 957
550,Northern Africa and Western Asia,,,1833,No income group available,1518,168 474,167 617,166 837,132 338,145 608,158 254,164 674,170 695
551,Northern Africa and Western Asia,,,1833,AFRICA,903,3 816 249,3 688 292,3 651 373,3 912 169,5 326 786,6 929 602,8 096 344,10 094 349
552,Northern Africa and Western Asia,,,1833,Eastern Africa,910,1 293 054,1 134 181,977 468,771 496,1 104 026,1 383 186,2 201 954,3 140 755
553,Northern Africa and Western Asia,,,1833,Burundi,108,20,54,70,92,77,44,148,241
554,Northern Africa and Western Asia,,,1833,Comoros,174,1 392,2 444,3 606,4 209,4 903,4 281,6 659,7 064
555,Northern Africa and Western Asia,,,1833,Djibouti,262,912,1 099,1 315,1 441,1 549,1 440,1 772,1 830
556,Northern Africa and Western Asia,,,1833,Eritrea,232,74 335,300 864,450 986,212 981,183 347,224 011,294 445,464 514
557,Northern Africa and Western Asia,,,1833,Ethiopia,231,1 052 228,606 498,253 074,263 495,295 397,388 975,438 704,508 067
558,Northern Africa and Western Asia,,,1833,Kenya,404,6 514,6 578,6 651,6 189,3 224,2 989,4 106,6 891
559,Northern Africa and Western Asia,,,1833,Madagascar,450,2,3,4,6,8,7,6,6
560,Northern Africa and Western Asia,,,1833,Malawi,454,2,3,4,6,8,7,6,6
561,Northern Africa and Western Asia,,,1833,Mauritius,480,3,4,5,7,10,9,8,8
562,Northern Africa and Western Asia,,,1833,Mozambique,508,3,4,5,7,10,9,8,8
563,Northern Africa and Western Asia,,,1833,Seychelles,690,2,3,4,6,8,7,6,6
564,Northern Africa and Western Asia,,,1833,Somalia,706,67 792,143 856,199 144,240 461,376 718,462 445,528 858,557 547
565,Northern Africa and Western Asia,,,1833,South Sudan,728,10 007,9 548,9 484,10 305,228 476,280 169,908 329,1 569 448
566,Northern Africa and Western Asia,,,1833,Uganda,800,74 438,57 778,47 621,26 116,2 099,1 268,1 907,3 351
567,Northern Africa and Western Asia,,,1833,United Republic of Tanzania,834,5 294,5 289,5 294,5 873,7 728,17 102,16 558,21 308
568,Northern Africa and Western Asia,,,1833,Zambia,894,34,48,62,94,144,131,135,143
569,Northern Africa and Western Asia,,,1833,Zimbabwe,716,76,108,139,208,320,292,299,317
570,Northern Africa and Western Asia,,,1833,Middle Africa,911,242 234,131 079,117 527,124 827,131 204,107 290,154 277,258 395
571,Northern Africa and Western Asia,,,1833,Cameroon,120,65,95,135,201,820,811,2 980,3 125
572,Northern Africa and Western Asia,,,1833,Central African Republic,140,17 915,18 277,18 646,20 781,16 079,13 502,25 975,45 139
573,Northern Africa and Western Asia,,,1833,Chad,148,206 556,96 787,84 135,87 571,86 673,81 950,110 960,187 902
574,Northern Africa and Western Asia,,,1833,Congo,178,1 390,1 404,1 602,1 722,1 895,2 284,2 612,2 882
575,Northern Africa and Western Asia,,,1833,Democratic Republic of the Congo,180,16 308,14 516,13 009,14 552,25 737,8 743,11 750,19 347
576,Northern Africa and Western Asia,,,1833,Northern Africa,912,2 203 918,2 338 001,2 465 329,2 913 219,3 983 301,5 321 934,5 605 452,6 531 036
577,Northern Africa and Western Asia,,,1833,Algeria,12,68 611,72 291,69 364,68 479,67 022,75 588,89 687,102 310
578,Northern Africa and Western Asia,,,1833,Egypt,818,1 420 251,1 496 893,1 610 358,2 001 959,2 781 345,3 659 312,3 823 434,4 107 560
579,Northern Africa and Western Asia,,,1833,Libya,434,33 726,35 201,34 918,36 239,50 998,66 050,89 450,98 549
580,Northern Africa and Western Asia,,,1833,Morocco,504,177 527,189 848,187 821,181 669,178 097,193 882,220 881,245 300
581,Northern Africa and Western Asia,,,1833,Sudan,729,292 991,325 238,341 691,436 161,700 205,1 105 794,1 151 770,1 738 902
582,Northern Africa and Western Asia,,,1833,Tunisia,788,42 907,51 627,55 266,57 549,61 509,64 650,67 278,69 553
583,Northern Africa and Western Asia,,,1833,Western Sahara,732,167 905,166 903,165 911,131 163,144 125,156 658,162 952,168 862
584,Northern Africa and Western Asia,,,1833,Southern Africa,913,9 461,11 720,13 095,14 975,17 563,17 819,19 749,20 815
585,Northern Africa and Western Asia,,,1833,Botswana,72,2,3,4,6,8,7,6,6
586,Northern Africa and Western Asia,,,1833,Namibia,516,1,2,2,3,3,2,1,1
587,Northern Africa and Western Asia,,,1833,South Africa,710,9 458,11 715,13 089,14 966,17 552,17 810,19 742,20 808
588,Northern Africa and Western Asia,,,1833,Western Africa,914,67 582,73 311,77 954,87 652,90 692,99 373,114 912,143 348
589,Northern Africa and Western Asia,,,1833,Benin,204,2,3,4,6,8,7,6,6
590,Northern Africa and Western Asia,,,1833,Côte d'Ivoire,384,1 208,1 140,1 179,1 731,2 216,1 548,1 632,1 608
591,Northern Africa and Western Asia,,,1833,Ghana,288,631,556,496,574,1 003,692,1 248,1 197
592,Northern Africa and Western Asia,,,1833,Guinea,324,1 219,1 227,1 326,1 485,1 675,1 987,2 224,2 387
593,Northern Africa and Western Asia,,,1833,Guinea-Bissau,624,723,794,870,1 010,1 150,1 316,1 381,1 439
594,Northern Africa and Western Asia,,,1833,Liberia,430,26 234,31 357,34 091,35 057,35 907,36 756,37 675,38 437
595,Northern Africa and Western Asia,,,1833,Mali,466,2 140,1 956,1 817,1 946,2 131,2 384,2 745,3 527
596,Northern Africa and Western Asia,,,1833,Mauritania,478,2 333,2 213,2 267,2 430,2 617,3 190,3 424,3 644
597,Northern Africa and Western Asia,,,1833,Niger,562,346,368,405,484,561,371,702,706
598,Northern Africa and Western Asia,,,1833,Nigeria,566,28 715,29 776,31 304,38 436,38 633,45 812,57 935,84 172
599,Northern Africa and Western Asia,,,1833,Senegal,686,3 813,3 692,3 805,4 169,4 525,5 059,5 668,5 937
600,Northern Africa and Western Asia,,,1833,Sierra Leone,694,218,229,390,324,266,251,272,288
601,Northern Africa and Western Asia,,,1833,ASIA,935,9 062 017,11 004 905,12 450 793,15 321 254,22 267 875,32 477 356,36 296 173,39 022 457
602,Northern Africa and Western Asia,,,1833,Central Asia,5500,144 780,155 064,120 299,117 909,135 104,163 172,338 023,460 118
603,Northern Africa and Western Asia,,,1833,Kazakhstan,398,39 060,22 123,21 942,28 358,35 495,41 746,60 839,107 609
604,Northern Africa and Western Asia,,,1833,Kyrgyzstan,417,10 979,8 021,7 546,11 110,14 928,20 126,35 404,48 625
605,Northern Africa and Western Asia,,,1833,Tajikistan,762,8 249,8 546,4 742,4 292,4 134,4 981,7 722,14 162
606,Northern Africa and Western Asia,,,1833,Turkmenistan,795,8 858,8 225,7 040,13 056,19 657,27 569,121 890,124 903
607,Northern Africa and Western Asia,,,1833,Uzbekistan,860,77 634,108 149,79 029,61 093,60 890,68 750,112 168,164 819
608,Northern Africa and Western Asia,,,1833,Eastern Asia,906,17 391,11 775,11 185,14 668,22 734,20 315,40 685,76 570
609,Northern Africa and Western Asia,,,1833,China,156,11 341,7 428,8 436,11 604,19 449,18 454,37 253,73 323
610,Northern Africa and Western Asia,,,1833,Dem. People's Republic of Korea,408,8,12,15,23,35,31,31,33
611,Northern Africa and Western Asia,,,1833,Japan,392,5 033,3 423,1 867,2 060,2 174,1 082,2 187,2 024
612,Northern Africa and Western Asia,,,1833,Mongolia,496,0..,0..,29,27,27,28,27,28
613,Northern Africa and Western Asia,,,1833,Republic of Korea,410,1 009,912,838,954,1 049,720,1 187,1 162
614,Northern Africa and Western Asia,,,1833,Southern Asia,5501,3 914 107,4 536 971,5 191 678,6 926 204,10 942 545,16 187 311,17 098 768,19 072 830
615,Northern Africa and Western Asia,,,1833,Afghanistan,4,22 660,29 865,31 297,46 125,91 807,246 894,422 210,505 256
616,Northern Africa and Western Asia,,,1833,Bangladesh,50,763 369,924 792,1 065 891,1 420 247,2 487 076,4 195 148,4 382 220,4 969 223
617,Northern Africa and Western Asia,,,1833,India,356,1 932 297,2 212 496,2 585 796,3 543 710,5 443 968,7 371 349,7 521 177,8 337 171
618,Northern Africa and Western Asia,,,1833,Iran (Islamic Republic of),364,99 743,133 710,130 572,108 395,111 726,132 231,206 953,285 418
619,Northern Africa and Western Asia,,,1833,Nepal,524,16 026,20 678,22 169,59 489,165 460,527 753,610 368,637 391
620,Northern Africa and Western Asia,,,1833,Pakistan,586,864 166,1 018 451,1 151 591,1 509 474,2 360 792,3 369 941,3 519 697,3 884 487
621,Northern Africa and Western Asia,,,1833,Sri Lanka,144,215 846,196 979,204 362,238 764,281 716,343 995,436 143,453 884
622,Northern Africa and Western Asia,,,1833,South-Eastern Asia,920,1 123 406,1 240 396,1 457 853,1 613 739,2 033 213,2 477 896,2 527 305,2 727 066
623,Northern Africa and Western Asia,,,1833,Brunei Darussalam,96,1,2,2,3,3,2,1,1
624,Northern Africa and Western Asia,,,1833,Indonesia,360,468 961,501 145,621 541,588 289,606 723,623 640,640 976,694 473
625,Northern Africa and Western Asia,,,1833,Lao People's Democratic Republic,418,334,362,392,373,395,2,314,236
626,Northern Africa and Western Asia,,,1833,Malaysia,458,9 966,9 264,8 742,9 560,10 509,8 764,12 118,12 184
627,Northern Africa and Western Asia,,,1833,Myanmar,104,169 275,165 042,156 646,162 119,163 002,168 496,164 625,163 537
628,Northern Africa and Western Asia,,,1833,Philippines,608,465 456,554 583,657 965,840 558,1 234 838,1 655 744,1 685 953,1 831 163
629,Northern Africa and Western Asia,,,1833,Singapore,702,296,467,648,736,821,698,946,958
630,Northern Africa and Western Asia,,,1833,Thailand,764,8 395,9 508,11 879,12 057,16 829,20 476,22 298,24 436
631,Northern Africa and Western Asia,,,1833,Viet Nam,704,722,23,38,44,93,74,74,78
632,Northern Africa and Western Asia,,,1833,Western Asia,922,3 862 333,5 060 699,5 669 778,6 648 734,9 134 279,13 628 662,16 291 392,16 685 873
633,Northern Africa and Western Asia,,,1833,Armenia,51,172 665,366 157,356 382,161 266,155 390,149 357,143 552,131 581
634,Northern Africa and Western Asia,,,1833,Azerbaijan,31,202 437,431 121,447 050,370 650,134 940,127 341,196 208,327 088
635,Northern Africa and Western Asia,,,1833,Bahrain,48,10 492,10 339,10 354,10 710,11 826,12 679,12 894,13 326
636,Northern Africa and Western Asia,,,1833,Cyprus,196,9 159,9 757,10 354,13 484,16 779,20 247,26 185,30 993
637,Northern Africa and Western Asia,,,1833,Georgia,268,218 446,204 759,173 251,153 559,137 980,120 631,106 464,96 271
638,Northern Africa and Western Asia,,,1833,Iraq,368,176 408,223 435,240 249,605 610,1 916 292,739 046,1 116 331,1 042 555
639,Northern Africa and Western Asia,,,1833,Israel,376,107 255,105 776,104 409,90 277,75 310,63 294,72 600,70 385
640,Northern Africa and Western Asia,,,1833,Jordan,400,250 918,274 642,305 599,361 550,459 071,549 519,570 108,614 690
641,Northern Africa and Western Asia,,,1833,Kuwait,414,45 681,51 819,59 413,63 214,87 072,99 157,111 826,127 041
642,Northern Africa and Western Asia,,,1833,Lebanon,422,82 734,80 220,90 638,102 018,123 819,142 211,151 659,175 118
643,Northern Africa and Western Asia,,,1833,Oman,512,10 721,10 511,10 321,12 124,12 215,13 414,14 054,14 088
644,Northern Africa and Western Asia,,,1833,Qatar,634,11 253,11 171,11 140,11 910,13 041,13 655,14 218,14 611
645,Northern Africa and Western Asia,,,1833,Saudi Arabia,682,58 087,71 329,87 473,77 625,83 551,86 374,132 940,144 724
646,Northern Africa and Western Asia,,,1833,State of Palestine,275,1 812 023,2 354 332,2 837 228,3 428 386,3 471 347,3 769 592,4 033 239,4 187 545
647,Northern Africa and Western Asia,,,1833,Syrian Arab Republic,760,191 836,224 122,241 852,385 505,1 087 424,5 408 890,7 203 511,7 058 190
648,Northern Africa and Western Asia,,,1833,Türkiye,792,66 718,85 082,82 173,82 850,94 101,101 532,110 427,118 286
649,Northern Africa and Western Asia,,,1833,United Arab Emirates,784,49 108,57 759,71 008,52 687,57 930,60 214,67 654,76 778
650,Northern Africa and Western Asia,,,1833,Yemen,887,386 392,488 368,530 884,665 309,1 196 191,2 151 509,2 207 522,2 442 603
651,Northern Africa and Western Asia,,,1833,EUROPE,908,2 363 636,2 335 296,2 186 208,2 052 631,1 970 340,1 915 269,2 156 052,2 476 455
652,Northern Africa and Western Asia,,,1833,Eastern Europe,923,1 549 448,1 503 147,1 332 050,1 204 630,1 092 918,1 071 388,1 172 886,1 366 186
653,Northern Africa and Western Asia,,,1833,Belarus,112,48 453,40 080,33 695,28 189,23 583,24 618,27 548,29 134
654,Northern Africa and Western Asia,,,1833,Bulgaria,100,485 684,494 897,502 816,469 942,435 520,403 050,387 694,373 662
655,Northern Africa and Western Asia,,,1833,Czechia,203,17 887,18 716,17 896,16 650,15 599,16 110,17 821,18 831
656,Northern Africa and Western Asia,,,1833,Hungary,348,18 001,17 764,15 842,13 863,12 211,12 991,13 980,14 786
657,Northern Africa and Western Asia,,,1833,Poland,616,118 161,107 804,87 476,69 512,54 708,56 795,63 141,66 452
658,Northern Africa and Western Asia,,,1833,Republic of Moldova*,498,34 031,38 143,25 291,20 886,18 589,22 743,26 055,28 474
659,Northern Africa and Western Asia,,,1833,Romania,642,161 580,165 943,151 067,131 714,115 100,117 592,125 944,134 408
660,Northern Africa and Western Asia,,,1833,Russian Federation,643,449 160,395 069,303 773,278 378,256 676,245 337,311 970,446 696
661,Northern Africa and Western Asia,,,1833,Slovakia,703,34,48,62,94,144,131,135,143
662,Northern Africa and Western Asia,,,1833,Ukraine*,804,216 457,224 683,194 132,175 402,160 788,172 021,198 598,253 600
663,Northern Africa and Western Asia,,,1833,Northern Europe,924,103 894,113 598,116 660,128 446,157 954,154 031,183 807,199 629
664,Northern Africa and Western Asia,,,1833,Denmark*,208,1 876,2 050,2 286,2 745,3 251,3 007,3 879,4 041
665,Northern Africa and Western Asia,,,1833,Estonia,233,2 140,1 786,976,755,466,222,159,162
666,Northern Africa and Western Asia,,,1833,Finland*,246,1 322,1 544,1 721,1 946,2 222,1 970,2 350,2 388
667,Northern Africa and Western Asia,,,1833,Iceland,352,8,12,15,23,35,31,31,33
668,Northern Africa and Western Asia,,,1833,Ireland,372,193,273,353,532,815,747,770,817
669,Northern Africa and Western Asia,,,1833,Latvia,428,10 203,10 864,7 684,5 273,3 425,3 587,3 854,4 050
670,Northern Africa and Western Asia,,,1833,Lithuania,440,16 387,15 356,9 545,5 614,2 747,2 854,3 062,3 209
671,Northern Africa and Western Asia,,,1833,Norway*,578,495,523,568,693,830,525,906,887
672,Northern Africa and Western Asia,,,1833,Sweden,752,2 623,2 817,2 898,3 361,3 921,3 085,4 249,4 261
673,Northern Africa and Western Asia,,,1833,United Kingdom*,826,68 647,78 373,90 614,107 504,140 242,138 003,164 547,179 781
674,Northern Africa and Western Asia,,,1833,Southern Europe,925,314 877,285 363,255 930,214 287,175 120,125 807,132 930,133 250
675,Northern Africa and Western Asia,,,1833,Albania,8,384,364,360,445,569,576,603,638
676,Northern Africa and Western Asia,,,1833,Bosnia and Herzegovina,70,83,177,274,315,364,392,416,440
677,Northern Africa and Western Asia,,,1833,Croatia,191,21,30,38,57,88,80,81,86
678,Northern Africa and Western Asia,,,1833,Gibraltar*,292,1,2,2,3,3,2,1,1
679,Northern Africa and Western Asia,,,1833,Greece,300,134 980,109 013,84 273,74 002,67 619,54 347,58 127,61 038
680,Northern Africa and Western Asia,,,1833,Italy,380,27 396,23 413,19 053,20 103,21 305,17 316,24 149,24 136
681,Northern Africa and Western Asia,,,1833,Malta,470,8,12,15,23,35,31,31,33
682,Northern Africa and Western Asia,,,1833,North Macedonia,807,143 942,143 944,143 946,111 007,75 924,43 886,38 746,35 554
683,Northern Africa and Western Asia,,,1833,Portugal,620,16,23,29,44,65,59,60,64
684,Northern Africa and Western Asia,,,1833,Serbia*,688,630,891,1 152,1 732,2 657,2 439,2 518,2 673
685,Northern Africa and Western Asia,,,1833,Slovenia,705,4,6,7,10,15,13,13,14
686,Northern Africa and Western Asia,,,1833,Spain*,724,7 412,7 488,6 781,6 546,6 476,6 666,8 185,8 573
687,Northern Africa and Western Asia,,,1833,Western Europe,926,395 417,433 188,481 568,505 268,544 348,564 043,666 429,777 390
688,Northern Africa and Western Asia,,,1833,Austria,40,22 449,19 363,21 117,21 564,22 022,24 001,31 711,37 901
689,Northern Africa and Western Asia,,,1833,Belgium,56,10 945,13 052,15 259,22 668,30 469,35 946,41 055,51 957
690,Northern Africa and Western Asia,,,1833,France*,250,72 756,78 184,84 347,96 247,123 986,141 312,161 229,182 089
691,Northern Africa and Western Asia,,,1833,Germany,276,252 830,280 681,313 825,311 942,307 940,299 549,357 392,417 904
692,Northern Africa and Western Asia,,,1833,Luxembourg,442,3,4,5,7,10,9,8,8
693,Northern Africa and Western Asia,,,1833,Monaco,492,176,187,202,224,246,276,293,310
694,Northern Africa and Western Asia,,,1833,Netherlands*,528,20 163,26 116,31 869,36 167,41 692,44 096,53 500,63 655
695,Northern Africa and Western Asia,,,1833,Switzerland,756,16 095,15 601,14 944,16 449,17 983,18 854,21 241,23 566
696,Northern Africa and Western Asia,,,1833,LATIN AMERICA AND THE CARIBBEAN,904,38 208,47 044,53 994,60 896,68 622,73 564,79 782,84 601
697,Northern Africa and Western Asia,,,1833,Caribbean,915,22,33,52,70,96,85,81,85
698,Northern Africa and Western Asia,,,1833,Cuba,192,9,13,29,37,50,46,45,47
699,Northern Africa and Western Asia,,,1833,Dominican Republic,214,3,4,5,7,10,9,8,8
700,Northern Africa and Western Asia,,,1833,Haiti,332,1,2,2,3,3,2,1,1
701,Northern Africa and Western Asia,,,1833,Jamaica,388,4,6,7,10,15,13,13,14
702,Northern Africa and Western Asia,,,1833,Puerto Rico*,630,1,2,2,3,3,2,1,1
703,Northern Africa and Western Asia,,,1833,Trinidad and Tobago,780,4,6,7,10,15,13,13,14
704,Northern Africa and Western Asia,,,1833,Central America,916,1 730,2 072,2 451,2 878,3 349,3 624,3 897,4 135
705,Northern Africa and Western Asia,,,1833,Costa Rica,188,1,2,2,3,3,2,1,1
706,Northern Africa and Western Asia,,,1833,El Salvador,222,461,489,525,581,641,715,762,805
707,Northern Africa and Western Asia,,,1833,Honduras,340,1,2,2,3,3,2,1,1
708,Northern Africa and Western Asia,,,1833,Mexico,484,1 259,1 568,1 908,2 271,2 672,2 878,3 107,3 301
709,Northern Africa and Western Asia,,,1833,Nicaragua,558,3,4,5,7,10,9,8,8
710,Northern Africa and Western Asia,,,1833,Panama,591,5,7,9,13,20,18,18,19
711,Northern Africa and Western Asia,,,1833,South America,931,36 456,44 939,51 491,57 948,65 177,69 855,75 804,80 381
712,Northern Africa and Western Asia,,,1833,Argentina,32,22 527,27 864,31 746,35 276,39 011,42 074,45 350,48 182
713,Northern Africa and Western Asia,,,1833,Bolivia (Plurinational State of),68,3,4,5,7,10,9,8,8
714,Northern Africa and Western Asia,,,1833,Brazil,76,5 631,6 776,7 562,8 392,9 266,9 816,10 802,11 440
